№,,Название,Ссылка на продукцию,% азот,% фосфор,% калий,% сера
1,ФосАгро,Аммофос NP,https://www.phosagro.ru/production/fertilizer/azotno-fosfornye-udobreniya/ammofos-np-1252/,12.0,52.0,0.0,
2,ФосАгро,Диаммонийфосфат (ДАФ) NP,https://www.phosagro.ru/production/fertilizer/azotno-fosfornye-udobreniya/diammoniyfosfat-np-1846/,18,46,0,
3,ФосАгро,Аммофос NPK (S) 15:15:15,https://www.phosagro.ru/production/fertilizer/azotno-fosfornye-udobreniya/npk-s-151515-10/,15,15,15,10
4,ФосАгро,Аммофос,https://www.phosagro.ru/production/fertilizer/azotno-fosfornye-udobreniya/ammofos-np-1046/,10,46,0,0.0
5,ФосАгро,Сульфоаммофос NP (S),https://www.phosagro.ru/production/fertilizer/azotno-fosfornye-udobreniya/sulfoammofos-np-s-2020-14/,20,20,0,14
6,ФосАгро,Диаммофоска NPK (S),https://www.phosagro.ru/production/fertilizer/azotno-fosfornye-udobreniya/diammofoska-npk-s-102626-2/,10,26,26,2
7,ФосАгро,NPK (S),https://www.phosagro.ru/production/fertilizer/azotno-fosfornye-udobreniya/npk-s-82030-2/,8,20,30,2
8,ФосАгро,NPK (S),https://www.phosagro.ru/production/fertilizer/azotno-fosfornye-udobreniya/npk-s-131919-6/,13,19,19,6
9,ФосАгро,"NPK (S)+B (0,3 Бора)",https://www.phosagro.ru/production/fertilizer/azotno-fosforno-kalijnye-udobreniya/npk-s-b-141818-6-03b/,14,18,18,0.0
10,ФосАгро,"NPK (S)+B+Zn (13:17:17(6)+0,15B+0,6Zn)",https://www.phosagro.ru/production/fertilizer/azotno-fosforno-kalijnye-udobreniya/npk-s-b-zn-131717-6-015b-06zn/,13,17,17,6
11,ФосАгро,Сульфоаммофос NP (S),https://www.phosagro.ru/production/fertilizer/azotno-fosfornye-udobreniya/sulfoammofos-np-s-1620-14/,16,20,0.0,14
12,ФосАгро,Сульфоаммофос NP (S),https://www.phosagro.ru/production/fertilizer/azotno-fosfornye-udobreniya/np-s-1440-7/,14,40,0.0,7
13,ФосАгро,"Карбамид (Мочевина) Марка Б N 46,2",https://www.phosagro.ru/production/fertilizer/azotnye-udobreniya/karbamid-n-462/,"46,2",0.0,0.0,0.0
14,ФосАгро,"Аммиачная селитра Марка Б N 34,4",https://www.phosagro.ru/production/fertilizer/azotnye-udobreniya/karbamid-n-462/,"34,4",0.0,0.0,0.0
15,ФосАгро,"NPK(S) 8:20:30(2)+0,3B",https://www.phosagro.ru/production/fertilizer/azotno-fosforno-kalijnye-udobreniya/npk-s-82030-2-03b/,8,20,30,2
16,ФосАгро,ЖКУ NP 11:37,https://www.phosagro.ru/production/fertilizer/zhidkie-kompleksnye-udobreniya/zhku-np-1137/,11,37,0.0,0.0
17,,"NP(S) 14:40(7)+1Zn
Сульфоаммофос с цинком",https://www.phosagro.ru/production/fertilizer/azotno-fosforno-kalijnye-udobreniya/np-s-1440-7-1zn/,14,40,0.0,7
18,ФосАгро,"NPK(S) 14:18:18(6)+0,3Zn",https://www.phosagro.ru/production/fertilizer/azotno-fosforno-kalijnye-udobreniya/npk-s-141818-6-03zn/,14,18,18,6
19,ФосАгро,NPK(S) 15:15:15(10)+1Zn,https://www.phosagro.ru/production/fertilizer/azotno-fosforno-kalijnye-udobreniya/npk-s-151515-10-1zn/,15,15,15,10
20,ФосАгро,Моноаммонийфосфат (МАФ) NP 12:61,https://www.phosagro.ru/production/fertilizer/zhidkie-kompleksnye-udobreniya/maf-np-1261/,12,61,0.0,
21,ФосАгро,"NPK(S) 15:15:15(10)+0,3B",https://www.phosagro.ru/production/fertilizer/azotno-fosforno-kalijnye-udobreniya/npk-s-151515-10-03b/,15,15,15,10
22,ФосАгро,Сульфат аммония,https://www.phosagro.ru/production/fertilizer/azotnye-udobreniya/sulfat-ammoniya/,"20,5",0.0,0.0,
23,ФосАгро,NPK(S) 8:20:30(2)+1Zn,https://www.phosagro.ru/production/fertilizer/azotno-fosforno-kalijnye-udobreniya/npk-s-82030-2-1zn/,8,20,30,2
24,ФосАгро,"NP(S) 20:20(14)+0,4Zn
Сульфоаммофос с цинком",https://www.phosagro.ru/production/fertilizer/azotno-fosforno-kalijnye-udobreniya/np-s-2020-14-04zn/,20,20,0.0,14
25,ФосАгро,"NPK(S) 10:26:26(2)+1Zn*
Диаммофоска с цинком",https://www.phosagro.ru/production/fertilizer/azotno-fosforno-kalijnye-udobreniya/npk-s-102626-2-1zn/,10,26,26,2
26,ФосАгро,"NPK(S) 10:26:26(2)+0,3В*
Диаммофоска с бором",https://www.phosagro.ru/production/fertilizer/azotno-fosforno-kalijnye-udobreniya/npk-s-102626-2-03b/,10,26,26,2
27,ФосАгро,NPK,https://www.phosagro.ru/production/fertilizer/azotno-fosfornye-udobreniya/npk-123216/,12,32,15,"0,1-2"
28,Уралхим,СТАРТ 11:40:11+2МgО+МЭ,https://agro.uralchem.ru/catalog/fertilizers/start-11-40-11-2mgo-me/,11,40,11,0.0
29,Уралхим,СТАРТ 13:40:13+МЭ,https://agro.uralchem.ru/catalog/fertilizers/start-13-40-13-me/,13,40,13,0.0
30,Уралхим,УНИВЕРСАЛ 18:18:18+3МgО+МЭ,https://agro.uralchem.ru/catalog/fertilizers/universal-18-18-18-zmgo-me/,18,18,18,0.0
31,Уралхим,УНИВЕРСАЛ 19:19:19+МЭ,https://agro.uralchem.ru/catalog/fertilizers/universal-19-19-19-me/,19,19,19,0.0
32,Уралхим,УНИВЕРСАЛ 20:20:20+МЭ,https://agro.uralchem.ru/catalog/?type-of-fertilizer=complex,20,20,20,0.0
33,Уралхим,"ФИНАЛ 12:6:36+2,5МgО+МЭ",https://agro.uralchem.ru/catalog/fertilizers/final-12-6-36-2-5mgo-me/,12,6,36,0.0
34,Уралхим,ФИНАЛ 15:7:30+3МgО+МЭ,https://agro.uralchem.ru/catalog/fertilizers/final-15-7-30-zmgo-me/,15,7,30,0.0
35,Уралхим,ФИНАЛ 3:11:38+МЭ,https://agro.uralchem.ru/catalog/fertilizers/final-3-11-38-me/,3,11,38,0.0
36,Уралхим,ФИНАЛ 3:11:38+4MgO+МЭ,https://agro.uralchem.ru/catalog/fertilizers/final-3-11-38-4mgo-me/,3,11,38,0.0
37,Уралхим,SOLAR NPK micro Старт NPK 13:40:13+МЭ+Амино,https://agro.uralchem.ru/catalog/fertilizers/solar-npk-micro-start-npk-13-40-13-me-amino/,13,40,13,0.0
38,Уралхим,SOLAR NPK micro Универсал NPK 20:20:20+МЭ+Амино,https://agro.uralchem.ru/catalog/fertilizers/solar-npk-micro-universal-npk-20-20-20-me-amino/,20,20,20,0.0
39,Уралхим,"SOLAR NPK micro Финал NPK 12:6:36+2,5МgО+МЭ+Амино",https://agro.uralchem.ru/catalog/fertilizers/solar-npk-micro-final-npk-12-6-36-2-5mgo-me-amino/,12,6,36,0.0
40,Уралхим,SOLAR NPK micro Старт NPK 13:40:13+МЭ+Стим,https://agro.uralchem.ru/catalog/fertilizers/solar-npk-micro-start-npk-13-40-13-me-stim/,13,40,13,0.0
41,Уралхим,SOLAR NPK micro Универсал NPK 20:20:20+МЭ+Стим,https://agro.uralchem.ru/catalog/fertilizers/solar-npk-micro-universal-npk-20-20-20-me-stim/,20,20,20,0.0
42,Уралхим,"SOLAR NPK micro Финал NPK 12:6:36+2,5МgО+МЭ+Стим",https://agro.uralchem.ru/catalog/fertilizers/solar-npk-micro-final-npk-12-6-36-2-5mgo-me-stim/,12,6,36,0.0
43,Уралхим,SOLAR NPK micro Старт NPK 13:40:13+МЭ+БиоПАВ,https://agro.uralchem.ru/catalog/fertilizers/solar-npk-micro-start-npk-13-40-13-me-biopav/,13,40,13,0.0
44,Уралхим,SOLAR NPK micro Универсал NPK 20:20:20+МЭ+БиоПАВ,https://agro.uralchem.ru/catalog/fertilizers/solar-npk-micro-universal-npk-20-20-20-me-biopav/,20,20,20,0.0
45,Уралхим,"SOLAR NPK micro Финал NPK 12:6:36+2,5МgО+МЭ+БиоПАВ",https://agro.uralchem.ru/catalog/fertilizers/solar-npk-micro-final-npk-12-6-36-2-5mgo-me-biopav/,12,6,36,0.0
46,Уралхим,Карбамидно-аммиачная смесь марка КАС-32,https://agro.uralchem.ru/catalog/fertilizers/karbamidno-ammiachnaya-smes-marka-kas-32/,32,0.0,0.0,0.0
47,Уралхим,Карбамидно-аммиачная смесь марка КАС-28,https://agro.uralchem.ru/catalog/fertilizers/karbamidno-ammiachnaya-smes-marka-kas-28/,28,0.0,0.0,0.0
48,Уралхим,Карбамидно-аммиачная смесь марка КАС-26+S,https://agro.uralchem.ru/catalog/fertilizers/karbamidno-ammiachnaya-smes-marka-kas-26-s/,26,0.0,0.0,"2,5"
49,Уралхим,Моноаммонийфосфат водорастворимый (МАФ),https://agro.uralchem.ru/catalog/fertilizers/monoammoniyfosfat-vodorastvorimyy-maf/,12,61,0.0,0.0
